time,fC2LE2,fC2LE4,fC2LE7,fC2LE9,fPGWh,fPGWm
2050-01-01,,,,,2.45,1.89
2050-01-02,,,,,1.59,1.06
2050-01-03,,,,,1.3,0.2
2050-01-04,,,,,0.47,0.33
2050-01-05,0.1,2.1,1.05,0.37,0.13,0.1
2050-01-06,0.1,1.72,0.28,0.1,0.1,0.1
2050-01-07,0.1,1.35,0.1,0.1,0.31,0.1
2050-01-08,0.1,0.72,0.1,0.71,0.68,0.5
2050-01-09,0.1,0.82,0.1,0.1,0.14,0.72
2050-01-10,1.16,1.22,0.1,0.1,0.1,0.1
2050-01-11,0.29,1.08,0.1,0.32,0.1,0.12
2050-01-12,0.1,0.4,0.1,1.36,0.35,0.52
2050-01-13,0.1,0.1,0.1,1.31,0.22,0.34
2050-01-14,0.1,0.1,0.1,0.31,0.79,0.1
2050-01-15,0.47,0.1,0.1,0.91,0.2,0.11
2050-01-16,0.1,0.1,0.1,0.59,0.1,0.1
2050-01-17,0.7,0.3,0.1,1.75,0.15,0.1
2050-01-18,0.1,0.1,0.1,1.54,0.2,0.1
2050-01-19,0.1,0.1,0.1,1.98,0.5,0.23
2050-01-20,0.1,0.36,0.1,0.7,0.24,0.1
2050-01-21,0.1,0.29,0.1,0.17,0.1,0.1
2050-01-22,0.1,0.1,0.1,0.52,0.1,0.1
2050-01-23,0.1,0.1,0.1,0.55,0.1,0.1
2050-01-24,0.1,0.1,0.1,0.26,0.1,0.1
2050-01-25,0.1,0.1,0.1,0.1,0.1,0.1
2050-01-26,0.1,0.1,0.1,0.1,0.17,0.1
2050-01-27,0.1,0.1,0.1,0.1,0.1,0.1
2050-01-28,0.1,0.1,0.1,0.29,0.1,0.1
2050-01-29,0.1,0.1,0.1,0.1,0.26,0.22
2050-01-30,0.1,0.1,0.1,0.1,0.24,0.1
2050-01-31,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-01,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-02,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-03,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-04,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-05,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-06,0.1,0.1,0.1,0.8,0.1,0.1
2050-02-07,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-08,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-09,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-10,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-11,0.1,0.1,0.1,0.1,0.1,0.1
2050-02-12,0.1,0.1,0.17,0.1,0.35,0.14
2050-02-13,0.1,0.1,0.1,0.1,0.36,0.19
2050-02-14,0.1,0.1,0.27,0.1,0.1,0.1
2050-02-15,0.1,0.1,0.13,0.1,1.11,0.69
2050-02-16,0.1,0.1,0.1,0.1,1.14,0.73
2050-02-17,0.26,0.1,0.1,0.1,0.29,0.1
2050-02-18,0.1,0.1,0.1,0.1,0.34,0.12
2050-02-19,0.1,0.16,0.1,0.1,0.4,0.1
2050-02-20,0.48,0.61,0.1,0.1,0.1,0.1
2050-02-21,0.1,0.39,0.1,0.1,0.1,0.1
2050-02-22,0.1,0.88,0.1,0.37,0.1,0.1
2050-02-23,0.1,0.5,0.1,0.1,0.42,0.23
2050-02-24,0.1,0.23,0.1,0.1,0.1,0.1
2050-02-25,0.1,0.37,0.1,0.1,0.1,0.1
2050-02-26,0.1,0.44,0.1,0.1,0.1,0.1
2050-02-27,0.1,0.1,0.1,0.1,0.22,0.1
2050-02-28,0.1,0.1,0.1,0.56,0.51,0.1
2050-03-01,0.1,0.1,0.16,0.1,0.1,0.1
2050-03-02,0.1,0.77,0.1,0.1,0.1,0.1
2050-03-03,0.1,0.4,0.1,0.19,0.1,0.1
2050-03-04,0.1,0.74,0.1,0.52,0.52,0.24
2050-03-05,0.1,0.1,0.1,0.1,0.42,0.35
2050-03-06,0.1,0.32,0.1,0.41,0.1,0.1
2050-03-07,0.1,0.35,0.14,0.66,0.42,0.17
2050-03-08,0.1,0.6,0.1,0.49,0.44,0.1
2050-03-09,0.1,0.12,0.1,0.1,0.1,0.1
2050-03-10,0.1,0.1,0.1,0.1,0.1,0.1
2050-03-11,0.4,0.1,0.1,0.26,0.1,0.1
2050-03-12,0.29,0.61,0.1,0.1,0.1,0.1
2050-03-13,0.3,0.58,0.1,0.69,0.1,0.1
2050-03-14,0.1,0.74,0.1,0.69,0.1,0.1
2050-03-15,0.1,0.14,0.1,0.49,0.1,0.1
2050-03-16,0.1,1.07,0.1,0.27,0.1,0.1
2050-03-17,0.1,0.78,0.1,0.38,0.1,0.1
2050-03-18,0.1,0.1,0.1,0.1,0.1,0.1
2050-03-19,0.1,0.1,0.14,0.1,0.1,0.1
2050-03-20,0.1,0.1,0.1,0.1,0.1,0.1
2050-03-21,0.54,0.1,0.1,0.18,0.27,0.42
2050-03-22,0.26,0.1,0.1,0.37,0.89,0.52
2050-03-23,0.1,0.42,0.1,0.84,0.1,0.1
