time,fC2LE2,fC2LE4,fC2LE7,fC2LE9,fPGWh,fPGWm
2050-01-01,,,,,0.6268692,0.7397369
2050-01-02,,,,,0.6260686,0.7388592
2050-01-03,,,,,0.6253064,0.73798615
2050-01-04,,,,,0.62457883,0.7371281
2050-01-05,0.83188605,1.5105354,0.9439065,0.62264,0.6238917,0.7362974
2050-01-06,0.82986706,1.3135599,0.94285476,0.6211744,0.6232533,0.73551404
2050-01-07,0.8279165,1.1548408,0.9417357,0.61942995,0.6226583,0.73479444
2050-01-08,0.82604206,1.0074402,0.9404838,0.61750704,0.62208563,0.734137
2050-01-09,0.82424104,0.87590396,0.9390152,0.6155265,0.62150806,0.73352015
2050-01-10,0.8225351,0.7752752,0.9372524,0.6135542,0.62090397,0.7329155
2050-01-11,0.82097983,0.70376515,0.9351523,0.6116007,0.62026197,0.7323023
2050-01-12,0.81963754,0.6419177,0.93273413,0.60967547,0.61957854,0.73167163
2050-01-13,0.818533,0.58632016,0.93009657,0.60783106,0.61885196,0.7310188
2050-01-14,0.81763625,0.5455861,0.9273964,0.60616064,0.6180784,0.7303375
2050-01-15,0.8168836,0.519862,0.92478865,0.6047579,0.6172523,0.7296208
2050-01-16,0.8162122,0.50596625,0.9223691,0.60365784,0.6163686,0.728861
2050-01-17,0.81557924,0.50010955,0.9201556,0.6028068,0.6154245,0.7280437
2050-01-18,0.8149631,0.49775556,0.91810095,0.602102,0.61442035,0.7271479
2050-01-19,0.8143553,0.49628165,0.916116,0.6014611,0.6133624,0.72615695
2050-01-20,0.81375307,0.4948532,0.91408855,0.6008523,0.6122666,0.7250723
2050-01-21,0.813155,0.4933233,0.9119035,0.600274,0.6111578,0.72391504
2050-01-22,0.81255937,0.4917442,0.90947104,0.59972733,0.6100616,0.72271204
2050-01-23,0.8119627,0.4901826,0.90675646,0.59920615,0.6089953,0.72146446
2050-01-24,0.8113492,0.48863938,0.90379345,0.59870136,0.60796493,0.7201228
2050-01-25,0.8106549,0.48704445,0.90066963,0.5982057,0.6069706,0.71859115
2050-01-26,0.80977875,0.4853033,0.8974889,0.5977153,0.6060175,0.7167811
2050-01-27,0.8086874,0.48334733,0.8943351,0.5972286,0.6051202,0.7147166
2050-01-28,0.8074809,0.48116705,0.89126295,0.5967452,0.60429305,0.7125752
2050-01-29,0.806315,0.47882667,0.88831097,0.59626436,0.6035312,0.7105731
2050-01-30,0.8052702,0.4764497,0.8855094,0.5957825,0.60280377,0.70881736
2050-01-31,0.8043085,0.4741721,0.88287354,0.5952884,0.6020689,0.7072819
2050-02-01,0.8033377,0.47208998,0.8803968,0.59475523,0.6012981,0.7058897
2050-02-02,0.80229586,0.47023532,0.87805134,0.5941316,0.60048693,0.7045882
2050-02-03,0.80117935,0.46857914,0.87580055,0.59334904,0.5996446,0.70334625
2050-02-04,0.80002165,0.46704626,0.8736198,0.5923604,0.5987776,0.7021012
2050-02-05,0.79886514,0.46554208,0.87151533,0.5911796,0.59788567,0.7007514
2050-02-06,0.79774445,0.46399373,0.8695137,0.5899123,0.5969723,0.6992364
2050-02-07,0.79667854,0.46238244,0.8676241,0.58873206,0.5960554,0.6976109
2050-02-08,0.7956652,0.46073973,0.8658216,0.58775157,0.59515506,0.6960174
2050-02-09,0.7946801,0.4591137,0.8640789,0.58692044,0.5942626,0.6945898
2050-02-10,0.7936858,0.45753732,0.86240387,0.5861065,0.59334207,0.6933861
2050-02-11,0.79265046,0.45601872,0.86083186,0.5852495,0.59238213,0.69238925
2050-02-12,0.7915649,0.45455408,0.8593824,0.5843936,0.59142995,0.691546
2050-02-13,0.790445,0.4531508,0.8580342,0.5836034,0.59055537,0.69080305
2050-02-14,0.78932214,0.45183894,0.85674316,0.58289057,0.5897863,0.6901219
2050-02-15,0.7882332,0.45065936,0.8554764,0.58220655,0.58908904,0.68947804
2050-02-16,0.78721255,0.44963768,0.85422844,0.58147234,0.5884103,0.68885636
2050-02-17,0.786283,0.4487689,0.85301113,0.5806137,0.5877258,0.68824786
2050-02-18,0.78544796,0.44802627,0.8518342,0.57958865,0.58704865,0.687648
2050-02-19,0.7846915,0.44738156,0.85069364,0.5784002,0.5864035,0.68705535
2050-02-20,0.7839876,0.4468169,0.8495752,0.57708955,0.5858049,0.68646973
2050-02-21,0.7833109,0.44632176,0.84846306,0.57571805,0.58525515,0.68589115
2050-02-22,0.7826427,0.44588548,0.84734666,0.5743482,0.58475083,0.68531954
2050-02-23,0.7819712,0.44549423,0.8462242,0.5730364,0.5842859,0.6847556
2050-02-24,0.7812895,0.44513303,0.8451039,0.5718316,0.5838426,0.68420064
2050-02-25,0.78059405,0.44478846,0.8440015,0.57076955,0.58338076,0.6836553
2050-02-26,0.7798841,0.4444501,0.84292924,0.5698632,0.5828609,0.6831189
2050-02-27,0.7791609,0.44411156,0.8418815,0.56910014,0.58228445,0.68258995
2050-02-28,0.7784266,0.44377083,0.84082896,0.56845057,0.5816947,0.68206674
2050-03-01,0.7776845,0.44342974,0.83973384,0.567879,0.5811367,0.68154746
2050-03-02,0.77694094,0.4430913,0.8385787,0.56735307,0.5806264,0.68102956
2050-03-03,0.7762043,0.44275752,0.8373823,0.5668476,0.580139,0.6805105
2050-03-04,0.77548134,0.44242862,0.8361885,0.56634086,0.57960695,0.67998904
2050-03-05,0.7747649,0.44210333,0.83503807,0.5658043,0.5789652,0.679465
2050-03-06,0.7740156,0.44178003,0.8339497,0.5652063,0.5782211,0.6789391
2050-03-07,0.77317315,0.44145757,0.83291805,0.5645362,0.5774588,0.67841244
2050-03-08,0.77220726,0.44113526,0.83192486,0.56382173,0.57676595,0.67788583
2050-03-09,0.7711581,0.4408131,0.8309507,0.5631147,0.5761655,0.67736036
2050-03-10,0.77011156,0.44049135,0.8299824,0.56245947,0.5756157,0.6768372
2050-03-11,0.7691376,0.44017044,0.82901424,0.5618729,0.5750677,0.6763175
2050-03-12,0.7682508,0.43984625,0.8280463,0.5613469,0.57451195,0.67580146
2050-03-13,0.76741785,0.4395001,0.8270819,0.5608626,0.57397187,0.6752884
2050-03-14,0.76658845,0.43910012,0.8261257,0.56040233,0.5734662,0.6747777
2050-03-15,0.7657239,0.4386269,0.8251816,0.55995405,0.5729825,0.67426944
2050-03-16,0.76480937,0.43809807,0.8242509,0.55951154,0.5724811,0.67376363
2050-03-17,0.7638492,0.43756178,0.82333183,0.55907184,0.57192266,0.6732592
2050-03-18,0.76285285,0.43706498,0.822421,0.55863374,0.5712955,0.6727537
2050-03-19,0.7618222,0.4366276,0.8215152,0.55819666,0.5706201,0.6722432
2050-03-20,0.7607495,0.43624195,0.82061297,0.5577603,0.56992847,0.67172325
2050-03-21,0.7596266,0.43588865,0.81971556,0.5573244,0.5692414,0.6711903
2050-03-22,0.758461,0.43555123,0.81882447,0.55688864,0.56856364,0.6706426
2050-03-23,0.75728685,0.4352204,0.8179402,0.556449,0.5678937,0.67007935
2050-03-24,0.75615805,0.4348923,0.81706077,0.55599415,0.5672355,0.6695
